許可證字號,中文品名,英文品名,形狀,特殊劑型,顏色,特殊氣味,刻痕,外觀尺寸,標註一,標註二,外觀圖檔連結
"衛署藥製字第011084號","""豐田"" 鼻爽錠","NORSON TABLETS ""HONTEN""","圓形","","藍","","無","8","H T","090","https://mcp.fda.gov.tw/insert/shapeImg/c4a895ce-6e0b-4305-9f5c-67151574d34e_img_1?c=o"
"衛署藥製字第011224號","""瑞士""得喜寧膠囊","DOXYNIN CAPSULES ""SWISS""","膠囊","","綠;;;綠","","無","18","D15","","https://mcp.fda.gov.tw/insert/shapeImg/aa84cdef-bccf-4cee-bd33-c53f72d29d23?c=o"
"衛署藥製字第011341號","利茗進錠８毫克","Liventin TABLETS 8MG","圓形","","黃","","直線","6","","","https://mcp.fda.gov.tw/insert/shapeImg/fafc7b38-71fe-4815-9834-2eca33977e5d?c=o"
"衛署藥製字第011407號","""井田"" 可胃安寧錠","COWEITHELINE TABLETS ""CHIN TENG""","圓形","","白","","無","13","CHIN TENG","W","https://mcp.fda.gov.tw/insert/shapeImg/a075161b-7a38-4121-80a9-eca30d7a0b68?c=o"
"衛署藥製字第011421號","""南光"" 腦寶膠囊","NOOPOL CAPSULES ""N.K.""","膠囊","","橘;;;白","","無","19","NKP 189","","https://mcp.fda.gov.tw/insert/shapeImg/03088794-4fe7-44a5-8041-ba8e61d19fe1?c=o"
"衛署藥製字第011518號","紐奧黴素膠囊２５０公絲","NEOMYCIN CAPSULES 250MG","膠囊","","棕;;;橘","","無","21","","","https://mcp.fda.gov.tw/insert/shapeImg/71b72585-429d-488b-a2b5-38071aa7488c?c=o"
"衛署藥製字第011562號","徧醫錠","PANTRIM TABLETS","圓形","","白","","直線","12","","","https://mcp.fda.gov.tw/insert/shapeImg/9fc6a084-d57c-499c-80b5-26c2a7b0a71f?c=o"
"衛署藥製字第011701號","""培力""培胃治錠","PEIWETSU TABLETS ""P.L.""","圓形","","白","","直線","10","PWT","","https://mcp.fda.gov.tw/insert/shapeImg/270bf693-9258-40a7-8bd1-965da40769a2?c=o"
"衛署藥製字第011882號","""黃氏""福力勇膠囊","FOLIUN CAPSULES ""H.S.""","膠囊","","紅;;;紅","","無","21","","","https://mcp.fda.gov.tw/insert/shapeImg/2cf5c0d4-b5d7-4a61-a3fc-a6a251bb64aa?c=o"
"衛署藥製字第011928號","百敏寧膜衣錠","PARMINRIN F.C.TABLETS","圓形","","黃","","無","9","","","https://mcp.fda.gov.tw/insert/shapeImg/505c5ad7-ff46-4653-af08-a575405aec33?c=o"
"衛署藥製字第011964號","""培力""特其隆膠囊","TEKILON CAPSULES ""P.L.""","膠囊","","紅;;;黃","","無","16","Peili C10","","https://mcp.fda.gov.tw/insert/shapeImg/1d0c7413-58a8-4dd9-93cb-9ee2e4787a7a?c=o"
"衛署藥製字第012081號","輸泌來錠","SPIRON TABLETS","圓形","","白","","直線","8","YK","","https://mcp.fda.gov.tw/insert/shapeImg/241388c7-6305-4a8f-9b0e-3480bf2acb5c?c=o"
"衛署藥製字第012323號","""明大""育胃源錠","E-WEGEN TABLETS ""M.T.""","圓形","","綠","","直線","12","MT 018","","https://mcp.fda.gov.tw/insert/shapeImg/45428a4b-a928-4a92-aa7c-e6de09ac64ca?c=o"
"衛署藥製字第012444號","""派頓""炎撒清膠囊","INTHACID CAPSULES ""PATRON""","膠囊","","灰;;;藍綠","","無","17","Patron 704","","https://mcp.fda.gov.tw/insert/shapeImg/4b35c50c-fca3-4510-a726-1f22456a7fc1_img_1?c=o"
"衛署藥製字第012446號","""成大"" 比他贊錠０．５毫克（貝皮質醇）","BETASON TABLETS 0.5MG ""CHEN TA"" (BETAMETHASONE)","圓形","","白","","直線","8","","","https://mcp.fda.gov.tw/insert/shapeImg/052503aa-88ce-4cd7-ab20-e8d2b4cbca3b?c=o"
"衛署藥製字第012447號","""大豐""博賜康膜衣錠10毫克","BOSCON F.C. TABLETS 10MG ""T.F.""","圓形","","白","","無","6","TF","","https://mcp.fda.gov.tw/insert/shapeImg/8a2656c1-8fc4-4372-84d3-fcbefc6a1e08?c=o"
"衛署藥製字第012458號","悠樂丁錠２公絲","EURODIN TABLETS 2MG","圓形","","白","","直線","8","","","https://mcp.fda.gov.tw/insert/shapeImg/da7a7bc4-e97f-4344-9b77-5e7a90be6cfc?c=o"
"衛署藥製字第012519號","雅吉翁糖衣錠","ANETHION S.C. TABLETS","圓形","","綠","","無","7","","","https://mcp.fda.gov.tw/insert/shapeImg/5921a45b-8a48-4a21-8714-fd473a0256ce?c=o"
"衛署藥製字第012524號","""華興"" 敏力錠","MINRID TABLETS ""H.S.""","圓形","","黃","","無","7","HS","","https://mcp.fda.gov.tw/insert/shapeImg/3174550b-0fc5-45fc-b821-3699db7f0a38?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/6751200f-bc92-4c6b-a42b-909374e2988d_img_1?c=o"
"衛署藥製字第012551號","馳痙寧錠","SKELIN TABLETS ""F.Y.""","圓形","","白","","無","13","FY T039","","https://mcp.fda.gov.tw/insert/shapeImg/b1023927-866e-4daf-9b9a-31d690f79662?c=o"
"衛署藥製字第012702號","別嗽嗽糖衣錠","ANTI-COUGH S.C. TABLETS ""M.T.""","圓形","","橘","","無","9","","","https://mcp.fda.gov.tw/insert/shapeImg/68bd8bdc-ebd6-498d-88b8-963f543dae32?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/e0d1f344-f1ac-41de-bf10-f91a5893806a_img_1?c=o"
"衛署藥製字第012703號","""井田"" 杏胃特膜衣錠","SINPRIM F.C. TABLETS ""CHINTENG""","圓形","","白","","無","5","","","https://mcp.fda.gov.tw/insert/shapeImg/7edb89a5-6ebe-4c0f-9db7-ed30e1c057ba?c=o"
"衛署藥製字第012714號","""培力"" 諾平膠囊","NO-PEIN CAPSULES ""P.L.""","膠囊;;;膠囊","","紅;;;白;;;紅;;;白","","無;;;無","","Peili C09;;;Peili C09","","https://mcp.fda.gov.tw/insert/shapeImg/28fa1d65-8ea6-4236-aae9-dc88b8d0b2f2?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/952bf4f6-f767-4414-a23f-4f6c0912040f?c=o"
"衛署藥製字第012763號","滅炎菌錠","DEYANJUNN TABLETS","圓形","","白","","十字","14","Deyanjunn 780","","https://mcp.fda.gov.tw/insert/shapeImg/219e0ab8-69d3-495f-9f21-9d21bd51360f_img_1?c=o"
"衛署藥製字第012786號","""明大""清敏爽錠（縮蘋酸溴菲安明）","CHIN-MIN-SHON TABLETS ""M.T."" (BROMPHENIRAMINE MALEATE)","圓形","","橘","","無","6","","","https://mcp.fda.gov.tw/insert/shapeImg/8176f977-d2c6-448f-a0a3-042cc34bf324?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/957718a5-b2d7-4c1f-b835-0dc0678734e3_img_1?c=o"
"衛署藥製字第012831號","""井田"" 莫炎錠","MEFEN TABLETS ""CHINTENG""","圓形","","黃","","直線","11","CT","","https://mcp.fda.gov.tw/insert/shapeImg/401df100-7c21-4cfe-9d54-9c6217db40d5?c=o"
"衛署藥製字第012833號","""井田""彼免痛錠","PYMADON TABLETS ""CHINTENG""","橢圓形","","黃","","直線","15","","","https://mcp.fda.gov.tw/insert/shapeImg/c62f7744-6ece-443b-9c0f-3ee892f3d4fd?c=o"
"衛署藥製字第012977號","""美西""使喉健含錠","SHODIN TROCHES","其他","","綠","","無","19","MEYSEE MEYSEE","","https://mcp.fda.gov.tw/insert/shapeImg/82970648-5e0a-41a6-b4a9-98aa8c16bc58_img_1?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/b96c94fc-9758-4826-9ea5-42e1564cd9b1?c=o"
"衛署藥製字第013162號","“強生”貝他每松錠","BETAMETHASONE TABLETS ""JOHNSON""","橢圓形","","白","","無","9.9","BZ","","https://mcp.fda.gov.tw/insert/shapeImg/ffe62e50-2a64-40c9-b542-c3cb1d95b54c?c=o"
"衛署藥製字第013381號","“柏理”乙酸可體松錠２５毫克","Cortisone Acetate Tablets 25mg “Pine Lawer”","圓形","","白","","無","9","PLt","","https://mcp.fda.gov.tw/insert/shapeImg/8577d0c7-e144-48be-ac21-669e32a9e207?c=o"
"衛署藥製字第013382號","""榮民""氧化鎂錠250毫克","MAGNESIUM OXIDE TABLETS 250MG ""VPP""","圓形","","白","","無","9.5","VPC 445","","https://mcp.fda.gov.tw/insert/shapeImg/df842faa-4602-4299-882f-bbadff3830a6?c=o"
"衛署藥製字第013398號","肝樂健口服液","CAN LOW GEN ""C.M.""","液劑(包含糖漿用粉劑)","","黃","","無","","","","https://mcp.fda.gov.tw/insert/shapeImg/7dda95c8-5d55-4624-a4ac-d2219c273cdd_img_1?c=o"
"衛署藥製字第013480號","""華琳""感冒膠囊","KANMO CAPSULES ""H.L.""","膠囊","","紅;;;橘","","無","","HL C032","","https://mcp.fda.gov.tw/insert/shapeImg/183061ce-5841-4f50-adb5-91bc9f0cb03e?c=o"
"衛署藥製字第013547號","安奈妥膠囊","ANETHOL CAPSULES ""M.T.""","膠囊","","黑;;;黃","","無","14","M T","027","https://mcp.fda.gov.tw/insert/shapeImg/c7208848-8ac8-4b06-87e3-657413b1c021?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/ea1ea3df-e019-4825-a9d0-d83003bfea63_img_1?c=o"
"衛署藥製字第013644號","""華興"" 儂涕克錠","LONTEC TABLETS ""H.H.""","圓形","","白","","直線","8","1 7","HS","https://mcp.fda.gov.tw/insert/shapeImg/cdc6ba9c-bf38-4252-824b-9fe421b41853?c=o"
"衛署藥製字第013778號","明靜膠囊","NO-COUGH CAPSULES ""M.T.""","膠囊","","紫;;;黃","","無","19","M T 030","","https://mcp.fda.gov.tw/insert/shapeImg/08d6a687-b9b5-4eec-b930-612583972833?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/d385c108-1757-4c74-9529-eb55f41e66cf_img_1?c=o"
"衛署藥製字第014088號","""黃氏""泌得悠錠","MITOYU TABLETS ""H.S.""","圓形","","棕","","直線","12","T455","","https://mcp.fda.gov.tw/insert/shapeImg/7227b311-81b1-4548-ae07-f6ea9a3e5241?c=o"
"衛署藥製字第014184號","去氫羥化腎上腺皮質素錠","PREDNISOLONE TABLETS ""WINSTON""","圓形","","黃","","無","8","W","203","https://mcp.fda.gov.tw/insert/shapeImg/b0e55b14-fb63-45dd-85ac-4358fa8b843d?c=o"
"衛署藥製字第014222號","""華興""胃酸氣平錠","GACID TABLETS ""H.S.""","圓形","","白","","直線","11","","","https://mcp.fda.gov.tw/insert/shapeImg/1a98ee5d-ac8d-4cae-afd6-88a0dc528c1f_img_1?c=o"
"衛署藥製字第014230號","""強生""奧世士林錠","OXESILIN TABLETS ""JOHNSON""","橢圓形","","白","","無","14","","","https://mcp.fda.gov.tw/insert/shapeImg/7ba27ffc-5035-446d-a3c0-3c3f31351250?c=o"
"衛署藥製字第014277號","嗽隨康錠","SAUSCON TABLETS","圓形","","橘","","直線","11","W","319","https://mcp.fda.gov.tw/insert/shapeImg/72503c5d-6560-483e-a741-6d34bb25e86e?c=o"
"衛署藥製字第014449號","""派頓"" 咳嗽膠囊","COUGH CAPSULES ""PATRON""","膠囊","","黃;;;黃","","無","22","Patron 804","","https://mcp.fda.gov.tw/insert/shapeImg/c707e530-f57c-4287-a455-e1c9feccc802_img_1?c=o"
"衛署藥製字第014469號","""派頓""派胃康錠","PAWELL TABLETS ""PATRON""","圓形","","白","","無","12","T P 508","","https://mcp.fda.gov.tw/insert/shapeImg/23be8578-377f-4ea2-bca3-65a0c6a49636_img_1?c=o"
"衛署藥製字第014692號","的剎美剎松錠","DEXAMETHASONE TABLETS ""PANBIOTIC""","圓形;;;圓形","","黃;;;黃","","直線;;;直線","7;;;7","","","https://mcp.fda.gov.tw/insert/shapeImg/01757ad8-76c4-4c84-a67b-0ab49b362dae_img_1?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/20cb142e-df78-48cd-869a-3b3faef76287?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/628d739e-1781-4cb0-b1d1-3cc2de908660?c=o"
"衛署藥製字第014755號","双克痛錠","DIKUTON TABLETS","圓形","","粉","","無","12","","","https://mcp.fda.gov.tw/insert/shapeImg/3dff203d-6c2e-40ae-9bcd-8cd3f5e27894?c=o"
"衛署藥製字第014865號","改源IB止痛錠","KAIGEN IB TABLETS","其他","","粉","","無","9","","","https://mcp.fda.gov.tw/insert/shapeImg/e6ec0f00-7021-44a7-916a-27eb5d62e70d?c=o"
"衛署藥製字第014909號","""達德士""每非那膠囊250毫克","MEFENAMIC ACID CAPSULES 250MG""D.T.S""","膠囊","","藍;;;黃","","無","19","DTS","","https://mcp.fda.gov.tw/insert/shapeImg/901a8239-dbd0-40d3-96f6-c912c3b4feb7?c=o"
"衛署藥製字第014947號","好安過敏鼻炎膠囊","HAOAN RHINITIS ALLERGICA CAPSULES","膠囊","","藍綠;;;黃","","無","15","","","https://mcp.fda.gov.tw/insert/shapeImg/fa82aed6-608a-4aae-942f-bd513136ef16?c=o"
"衛署藥製字第015024號","""培力""每斯克錠","METHYLSCOPOLAMINE METHYLSULFATE TABLETS ""P.L.","三角形","","白","","直線","7","P L","T32","https://mcp.fda.gov.tw/insert/shapeImg/3b4b185b-2c4c-42a5-b543-6504bbc63fe5?c=o"
"衛署藥製字第015041號","""華興""克痛芬膠囊","KETOFEN CAPSULES ""H.H.""","膠囊","","橘;;;黃","","無","17","KETOFEN","","https://mcp.fda.gov.tw/insert/shapeImg/612fffb6-95ce-45ae-81c8-c99c5342aa1c_img_1?c=o"
"衛署藥製字第015090號","""豐田"" 塩酸假麻黃生僉錠","PSEUDOEPHEDRINE HCL TABLETS ""HONTEN""","圓形","","黃","","無","7","H T","046","https://mcp.fda.gov.tw/insert/shapeImg/2bae935d-21b7-445c-b601-55b025ce3a6b_img_1?c=o"
"衛署藥製字第015091號","""福元""可多普洛菲膠囊５０毫克","KETOPROFEN CAPSULES 50MG ""F.Y.""","膠囊","","紅;;;黃","","無","16","FY C010","","https://mcp.fda.gov.tw/insert/shapeImg/c57685e6-68ae-4c5f-ad8a-357561eab211?c=o"
"衛署藥製字第015195號","拿可欣膠囊（本補麻隆）","NARCARICIN CAPSULES (BENZBROMARONE)","膠囊","","粉;;;黃","","無","18","Narcaricin 50MG","","https://mcp.fda.gov.tw/insert/shapeImg/e3241a5a-03d4-478c-bb0e-18209f21ad96?c=o"
"衛署藥製字第015242號","""派頓""胃腸藥錠","STOMACHIC TABLETS ""PATRON""","圓形","","白;;;棕","","無","10","T P 602","","https://mcp.fda.gov.tw/insert/shapeImg/513c0063-82f7-4c7c-9f1a-9314c5a3544a?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/dfcea596-60ed-45c4-a475-af31b5ee00a5?c=o"
"衛署藥製字第015286號","""派頓"" 安比西林膠囊","AMPICILLIN CAPSULES ""PATRON""","膠囊","","紅;;;白","","無","19","Patron 302","","https://mcp.fda.gov.tw/insert/shapeImg/cc727935-29ed-437f-9897-50c5eb6e7001_img_1?c=o"
"衛署藥製字第015344號","""福元"" 布朗信錠８毫克","BROMHEXINE TABLETS 8MG ""F.Y.""","圓形","","粉","","無","7","FY T013","","https://mcp.fda.gov.tw/insert/shapeImg/c01f778a-3395-40dd-8df4-39f5524b4bc1?c=o"
"衛署藥製字第015346號","""福元""對位乙醯氨基酚錠５００毫克","ACETAMINOPHEN TABLETS 500MG ""F.Y.""","圓形;;;圓形","","白;;;黃","","直線;;;直線","12;;;12","FY T002;;;FY T002","","https://mcp.fda.gov.tw/insert/shapeImg/5f8c6251-1043-410e-86ad-af4fcb18a199?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/60039f10-5d90-4f53-8dd2-bfa7404a61aa?c=o"
"衛署藥製字第015409號","泰吉錠","TAI CHI TABLETS","圓形","","白","","直線","8","","","https://mcp.fda.gov.tw/insert/shapeImg/fa385354-14db-4059-b37e-4279fc00f403?c=o"
"衛署藥製字第015410號","""黃氏""耐胃隆錠","NIWEIRON TABLETS ""H.S.""","圓形","","綠","","無","10","HS 60","","https://mcp.fda.gov.tw/insert/shapeImg/daa690e2-2021-482f-b2cc-7646d3ae63b9?c=o"
"衛署藥製字第015461號","""中美"" 感冒速達膠囊","COMMON SUTA CAPSULE ""C.M.""","膠囊","","棕;;;黃","","無","22","CM CC06","","https://mcp.fda.gov.tw/insert/shapeImg/6b54b159-0105-4368-98a1-115654911dd7?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/aa285af1-12d8-44e5-a07c-1abb65a30b16_img_1?c=o"
"衛署藥製字第015529號","""達德士""待克平錠","DICYCLOMINE TABLETS ""D.T.S.""","圓形","","粉","","十字","8","","","https://mcp.fda.gov.tw/insert/shapeImg/d42866e3-5b98-4869-bd16-d0fbb1a601c6?c=o"
"衛署藥製字第015540號","""井田"" 鼻康速錠","NORSECON TABLETS ""CHINTENG""","圓形","","黃","","直線","8","","","https://mcp.fda.gov.tw/insert/shapeImg/d067da85-24bc-4279-b2cd-6d6106799bc6?c=o"
"衛署藥製字第015543號","""培力"" 培佳治錠","PEICHIA TABLETS ""P.L.""","圓形","","白","","無","13","Pei Li","","https://mcp.fda.gov.tw/insert/shapeImg/f9def3b2-62fb-4875-acdb-2986c6fadf41?c=o"
"衛署藥製字第015596號","益庇益庇錠５００毫克","APAP TABLETS 500MG","圓形","","黃","","無","13","JCP","","https://mcp.fda.gov.tw/insert/shapeImg/ca4bf550-8487-45fe-a9f6-7921ad65c6fb?c=o"
"衛署藥製字第015629號","辛那伶錠","CINNARIZINE TABLETS ""CHINTENG""","圓形","","綠","","直線","8","","","https://mcp.fda.gov.tw/insert/shapeImg/d8963a5e-304e-4178-bbf4-c43aa5a8afb7?c=o"
"衛署藥製字第015660號","""信東""賜福力欣膠囊 500毫克","Cephalexin Capsules 500mg ""TBC""","膠囊","","綠;;;白","","無","22","ST 007","","https://mcp.fda.gov.tw/insert/shapeImg/0146c792-7eae-48e0-bed1-7d59b9097167?c=o"
"衛署藥製字第015740號","感冒膠囊","COLD CAPSULES","膠囊","","紅;;;透明","","無","23","C48","","https://mcp.fda.gov.tw/insert/shapeImg/358bd175-a41b-4c4b-8a8c-7931bb7869c7?c=o"
"衛署藥製字第015748號","""派頓""塞朗錠","ALDIOXA TABLETS ""PATRON"" (DIHYDROXYALUMINUM ALLANTOINATE)","圓形","","白","","直線","8","TP 208","","https://mcp.fda.gov.tw/insert/shapeImg/8c8c01a2-26e8-468a-b77a-69dd68f59738_img_1?c=o"
"衛署藥製字第015791號","""榮民""鹽酸四環素膠囊２５０毫克","TETRACYCLINE HCL CAPSULES 250MG ""VPC""","膠囊","","黑;;;棕","","無","18","","184","https://mcp.fda.gov.tw/insert/shapeImg/6dcedd44-be89-447f-a569-9413a32809c7?c=o"
"衛署藥製字第015834號","""明大"" 格利西力錠","GLYCERYL GUAIACOLATE TABLETS ""M.T.""","圓形","","白","","直線","11","","","https://mcp.fda.gov.tw/insert/shapeImg/93f42e52-f5fb-4dd1-8c4a-b891dd841ac8_img_1?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/f0a9a223-efab-4e67-8194-81b472872f62?c=o"
"衛署藥製字第015837號","""培力""匹井安錠","PIRAMIDE TABLETS ""P.L.""","圓形","","白","","無","11","P","","https://mcp.fda.gov.tw/insert/shapeImg/446a11cd-29d5-4b1a-867d-26c5dc8e1328?c=o"
"衛署藥製字第015910號","""培力""匹普林奈錠","PIPRINHYDRINATE TABLETS ""P.L.""","三角形","","白","","無","7","","","https://mcp.fda.gov.tw/insert/shapeImg/94723b44-7422-4cb5-9dea-a4678a887650?c=o"
"衛署藥製字第015992號","""明大 "" 盼克痛錠","PANATOL TABLETS ""M.T.""","橢圓形","","白","","直線","18","MINGTA","","https://mcp.fda.gov.tw/insert/shapeImg/8a1baf8f-86ed-4dee-9150-8a8fd9630b6d?c=o"
"衛署藥製字第016028號","""派頓""痛平朗錠","TONPYRON TABLETS ""PATRON""","圓形","","白;;;黃","","無","11","Patron","","https://mcp.fda.gov.tw/insert/shapeImg/87ddd1e3-bb02-473d-92c1-8b74521a8b67_img_1?c=o"
"衛署藥製字第016129號","好安咳嗽膠囊","HAOAN COUGH CAPSULES","膠囊","","紫;;;白","","無","19","NOCKS","","https://mcp.fda.gov.tw/insert/shapeImg/095f756d-29f7-4b08-b362-8e70d35d98b4?c=o"
"衛署藥製字第016158號","""中美"" 靜咳膠囊","TINCO CAPSULES ""C.M.""","膠囊","","橘;;;白","","無","21","","","https://mcp.fda.gov.tw/insert/shapeImg/5001f55a-9acb-41e8-8b9a-24727d15fb48_img_1?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/51684536-d65f-41b0-aadd-a03480350c2f?c=o"
"衛署藥製字第016159號","治可優錠８公絲（布郎信）","BECOMIN TABLETS 8MG (BROAMHEXINE)""M.T.""","圓形","","黃","","直線","6","","","https://mcp.fda.gov.tw/insert/shapeImg/e03ec408-4c48-4c88-8bc6-5d377c1c8e51?c=o"
"衛署藥製字第016162號","""福元"" 可脫瘼錠","CO-TRIMO TABLETS ""F.Y.""","圓形","","白","","無","12","FY T062","","https://mcp.fda.gov.tw/insert/shapeImg/a424f5fe-ddb7-4367-a3fe-c0a88710886d?c=o"
"衛署藥製字第016195號","美蘇仿錠３０毫克","DEXTROMETHORPHAN TABLETS 30 MG","圓形","","白","","十字","","","","https://mcp.fda.gov.tw/insert/shapeImg/5e41056e-d799-4711-8f02-b8511ffc0ef2?c=o"
"衛署藥製字第016226號","""派頓""欣可口含錠","SINGER TROCHES ""PATRON""","圓形","","黃","","無","15","","","https://mcp.fda.gov.tw/insert/shapeImg/74b71df7-e3bd-4e12-a8ab-ac5d0fe1b0f7_img_1?c=o"
"衛署藥製字第016374號","""明大"" 惠利敏錠","WELIMIN TABLETS ""M.T.""","圓形","","白","","無","7","37","","https://mcp.fda.gov.tw/insert/shapeImg/7e4adbf2-56c1-4801-bd85-b33c18c97b15?c=o"
"衛署藥製字第016378號","安比西林膠囊","AMPICILLIN CAPSULES ""SINTONG""","膠囊","","紅;;;灰","","無","22","ST 456","500mg","https://mcp.fda.gov.tw/insert/shapeImg/5f0f0fc2-8095-4ad8-82f0-5cebdd9c17a4?c=o"
"衛署藥製字第016420號","""培力"" 可促肌鬆錠","CHLORZOXAZONE TABLETS ""P.L.""","圓形","","白","","直線","9","PEILI T58","","https://mcp.fda.gov.tw/insert/shapeImg/e7d5aad6-7266-4725-b5f7-b74de2648a69?c=o"
"衛署藥製字第016432號","安痛克錠","ANTON TABLETS","圓形","","白","","直線","12","SWISS","","https://mcp.fda.gov.tw/insert/shapeImg/1d5ab10e-ce7f-4a20-88ce-e1eaf1aa333d?c=o"
"衛署藥製字第016444號","""井田""普敏能錠（匹普林奈）","PRINATE TABLETS ""CHINTENG"" (PIPRINHYDRINATE)","圓形","","黃","","直線","6","","","https://mcp.fda.gov.tw/insert/shapeImg/f3f1f8dc-3748-443f-8ada-5837667cf4db?c=o"
"衛署藥製字第016449號","""福元""世華妥糖衣錠２５毫克（敵芬尼朵）","CEPHENDOL S.C. TABLETS 25MG (DIPHENIDOL) ""F.Y","圓形","","綠","","無","7","","","https://mcp.fda.gov.tw/insert/shapeImg/c8f44f9c-0eca-4e31-95b1-713ac2361594?c=o"
"衛署藥製字第016485號","痛爾炎膠囊","TONREN CAPSULES ""C.M.""","膠囊","","藍;;;黃","","無","22","","","https://mcp.fda.gov.tw/insert/shapeImg/1956ae3e-83b7-4035-9d00-f28f798aedfd_img_1?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/7f9f836b-18b2-4d55-8a31-59e51ba0535a?c=o"
"衛署藥製字第016679號","""約克""醫普痛錠","IPUTON TABLETS ""Y.K.""","圓形","","白","","無","11","NW","2856","https://mcp.fda.gov.tw/insert/shapeImg/4a95f2bf-d022-4bff-bb90-6c60660c890e?c=o"
"衛署藥製字第016698號","""約克"" 穩舒痛錠","Winsocaine Tablets ""Y.K.""","圓形","","藍","","直線","13","N W","2852","https://mcp.fda.gov.tw/insert/shapeImg/447f5392-5cf3-49f4-98be-5c0f1384045a?c=o"
"衛署藥製字第016932號","〝信東〞秀得寧錠","SEUDORIN TABLETS (PSEUDOEPHEDRINE HCL)","圓形","","粉","","直線","7","ST 414","","https://mcp.fda.gov.tw/insert/shapeImg/89bec0c4-5e41-44b3-b6d6-024571506180?c=o"
"衛署藥製字第016962號","""瑞士""舒必達錠（沙布坦）","SABUTAL TABLETS ""SWISS BRAND"" (SALBUTAMOL)","圓形","","橘","","十字","6","","","https://mcp.fda.gov.tw/insert/shapeImg/91374cbe-bc77-480e-a145-9d40e6ce64ca?c=o"
"衛署藥製字第016964號","""約克""利濟腫錠（雙氫化氯噻治）","LISUZONE TABLETS ""Y.K.""(HYDROCHLOROTHIAZIDE)","圓形","","黃","","直線","8","","","https://mcp.fda.gov.tw/insert/shapeImg/018067cf-c73e-4c90-9537-e788f9023b04?c=o"
"衛署藥製字第016972號","胃疾寧錠","SWITYL TABLETS","圓形","","白","","直線","7","","","https://mcp.fda.gov.tw/insert/shapeImg/91f196e5-88de-4418-9504-a46aec873d5d?c=o"
"衛署藥製字第017082號","適得止錠","SIDUS TABLETS ""F.Y.""","圓形","","白","","無","12","FY T024","","https://mcp.fda.gov.tw/insert/shapeImg/f74d556c-755a-4b38-a1b8-e31da19332fc?c=o"
"衛署藥製字第017084號","應莫何炎膠囊","IBUPROFEN CAPSULES","膠囊","","白;;;白","","無","17","","","https://mcp.fda.gov.tw/insert/shapeImg/63ab349d-5f02-4531-8715-bb8f3fcf0ded?c=o"
"衛署藥製字第017087號","明培膚朗糖衣錠","MINLAN S.C. TABLETS ""M.T.""","圓形","","紅","","無","6","","","https://mcp.fda.gov.tw/insert/shapeImg/a142e9a8-4c35-48d2-92bd-9baf77840b0e_img_1?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/f2b7e7b2-dcf2-48f9-a281-110d038364db?c=o"
"衛署藥製字第017124號","""明大""胃雅錠","WEYAN TABLETS ""M.T.""","三角形","","藍","","直線","6","","","https://mcp.fda.gov.tw/insert/shapeImg/94f65989-a51d-49fd-af25-fd5851429fc9?c=o"
"衛署藥製字第017199號","""陽生""痛風寧膠囊","TON FONLIN CAPSULES ""Y.S."" (IBUPROFEN)","膠囊","","棕;;;粉","","無","21","TYS C02","","https://mcp.fda.gov.tw/insert/shapeImg/ed1af21f-01b1-4d74-93b8-8a97388a7029?c=o"
"衛署藥製字第017328號","“豐田”消咳舒錠３０毫克（美蘇仿）","DEXTROMETHORPHAN TABLETS 30MG ""HONTEN""","圓形","","粉","","無","8","H T","110","https://mcp.fda.gov.tw/insert/shapeImg/734f78bc-16f1-47ee-8aa1-6c1056815154_img_1?c=o"
"衛署藥製字第017361號","""大豐""達胃明錠","Teweimin Tablets ""T.F.""","圓形","","白","","無","12.0","TA FONG","","https://mcp.fda.gov.tw/insert/shapeImg/8aa2774b-4085-48de-935b-c445f3658406?c=o"
"衛署藥製字第017382號","""井田"" 拿能寧糖衣錠（乙烯羥化雌烯酮）","NORDRON S.C. TABLETS (NORETHINDRONE)","圓形","","粉","","無","7","","","https://mcp.fda.gov.tw/insert/shapeImg/94932fed-f894-40cf-874f-71377cb242a0?c=o"
"衛署藥製字第017383號","""井田""綜合感冒膠囊","ANTICOLD CAPSULES ""CHINTENG""","膠囊","","綠;;;白","","無","20","CTP A08","","https://mcp.fda.gov.tw/insert/shapeImg/f34f0ee8-03e1-4dc3-9364-d04df7b4d3c1?c=o"
